,Texts,Polarity
4264,i love being a sentry for mission impossible and a station for bonkers.,1
4265,"I, too, like Harry Potter..",1
4266,"Anyway, thats why I love "" Brokeback Mountain.",1
4267,Da Vinci Code sucked..,-1
4268,Da Vinci Code sucks be...,-1
4269,"and I love Harry Potter and i like talking walks, going to the beach, and eating Oreos!..",1
4270,we're gonna like watch Mission Impossible or Hoot.(,1
4271,I love the Mission Impossible spin in the middle TAN.,1
4272,I like Mission Impossible movies because you never know who's on the right side.,1
4273,The Da Vinci Code is awesome..,1
4274,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
4275,we're gonna like watch Mission Impossible or Hoot.(,1
4276,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
4277,the people who are worth it know how much i love the da vinci code.,1
4278,if you soil your pool youre cool in school logan paul hahaha,0
4279,These Harry Potter movies really suck.,-1
4280,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
4281,Da Vinci Code sucks be...,-1
4282,man i loved brokeback mountain!,1
4283,"Oh, and Brokeback Mountain was a terrible movie.",-1
4284,"I absolutely LOVE Harry Potter, as you can tell already.",1
4285,Da Vinci Code sucked..,-1
4286,I am going to start reading the Harry Potter series again because that is one awesome story.,1
4287,man i loved brokeback mountain!,1
4288,Love luv lubb the Da Vinci Code!,1
4289,Brokeback Mountain was boring.,-1
4290,Mission Impossible 3 was excellent.,1
4291,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
4292,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
4293,MKBHD I almost forgot how hard it was to stick to a clean concept while also trying not to go away from the persons brand,0
4294,i love being a sentry for mission impossible and a station for bonkers.,1
4295,Da Vinci Code sucks be...,-1
4296,"The Da Vinci Code was awesome, I can't wait to read it...",1
4297,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
4298,"Anyway, thats why I love "" Brokeback Mountain.",1
4299,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
4300,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
4301,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
4302,I like Mission Impossible movies because you never know who's on the right side.,1
4303,These Harry Potter movies really suck.,-1
4304,"I, too, like Harry Potter..",1
4305,Love luv lubb the Da Vinci Code!,1
4306,Harry Potter & the Goblet of Fire was awesome!..,1
4307,"Harry Potter dragged Draco Malfoy â s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",-1
4308,"Reading this review, you may draw the conclusion that I hate "" The Da Vinci Code "", which isn't true.",-1
4309,The Da Vinci Code is awesome..,1
4310,Da Vinci Code sucks.,-1
4311,""" Brokeback Mountain was an awesome movie. < 33..",1
4312,ani stephanie Fosudo MKBHD erryday All day Fosudo youre our own next best creator man Keep up the great wo,0
4313,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
4314,Harry Potter is AWESOME I don't care if anyone says differently!..,1
4315,TheNotoriousMMA Beautiful family Connor Jr Is getting so big God bless,1
4316,elonmusk Can I get a ride,0
4317,"Is it just me, or does Harry Potter suck?...",-1
4318,man i loved brokeback mountain!,1
4319,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
4320,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
4321,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
4322,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
4323,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
4324,Leonardo DiCaprio To Present Martin Scorsese With Inaugural Robert Osborne Award At TCM Classic Film Fest Deadl,0
4325,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
4326,The Da Vinci Code is awesome..,1
4327,These Harry Potter movies really suck.,-1
4328,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
4329,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
4330,we're gonna like watch Mission Impossible or Hoot.(,1
4331,"P. S. change background, I love Brokeback Mountain, I love Jake so much!..",1
4332,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
4333,the people who are worth it know how much i love the da vinci code.,1
4334,sex scandal hes just not that into you naked tube porn stars leonardo dicaprio the beach sex scene,0
4335,"Oh, and Brokeback Mountain was a terrible movie.",-1
4336,what is happening here,0
4337,Harry Potter is AWESOME I don't care if anyone says differently!..,1
4338,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
4339,"Actually, we talked about how Harry Potter sucked, and how the writer of My Immortal was either a college student working on a psychology thesis or a sad person with the IQ of a cucumber...",-1
4340,MKBHD Casey CaseyNeistat and Peter petermckinnon by the camera,0
4341,"in other news, the da vinci code sucks a lama's balls.....",-1
4342,I went to little Vic's bday party and saw Mission Impossible 3 which was just so awesome.,1
4343,I love The Da Vinci Code...,1
4344,I think I may just be bitter because I absolutely loved Brokeback Mountain and when you say you liked some other movie(,1
4345,I love Harry Potter.,1
4346,"So, I really liked Brokeback Mountain.",1
4347,the people who are worth it know how much i love the da vinci code.,1
4348,"Anyway, thats why I love "" Brokeback Mountain.",1
4349,"Anyway, thats why I love "" Brokeback Mountain.",1
4350,someone please tell me why logan paul the absolute garbage can has been on minutes and the cover of adweek,0
4351,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
4352,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
4353,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
4354,we went to see brokeback mountain-which was kinda horrible lol...,-1
4355,My dad's being stupid about brokeback mountain...,-1
4356,I love Harry Potter.,1
4357,"So Harry Potter day was canceled, or, rather, postponed, which sucks.",-1
4358,BROKEBACK MOUNTAIN WAS THE SHITTIEST MOVIE I HAVE EVER SEEN.....,-1
4359,devinzander MKBHD What,0
4360,The Da Vinci Code is awesome!!,1
4361,I love Harry Potter.,1
4362,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
4363,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
4364,Ok brokeback mountain is such a horrible movie.,-1
4365,Brokeback Mountain was boring.,-1
4366,Leonardo DiCaprio is a fuckin big time fuckin tool,1
4367,"The Da Vinci Code was awesome, I can't wait to read it...",1
4368,the people who are worth it know how much i love the da vinci code.,1
4369,"Still haven't seen the Da Vinci Code, which kinda sucks..",-1
4370,Brokeback Mountain was so awesome.,1
4371,"by the way, the Da Vinci Code sucked, just letting you know...",-1
4372,I love Harry Potter..,1
4373,the last stand and Mission Impossible 3 both were awesome movies.,1
4374,we're gonna like watch Mission Impossible or Hoot.(,1
4375,""" brokeback mountain ""-it was awesome.",1
4376,"As much as I hate Harry Potter, You gotta love this decaying and decomposing hippie for bringing McGarther Park to the world.",-1
4377,I love Brokeback Mountain....,1
4378,Mission Impossible 3 was excellent.,1
4379,Brokeback Mountain was so awesome.,1
4380,I love Harry Potter.,1
4381,"by the way, the Da Vinci Code sucked, just letting you know...",-1
4382,Ok brokeback mountain is such a horrible movie.,-1
4383,Film News Roundup LeoDiCaprio to Present MartinScorsese With Robert Osborne Award via variety,0
4384,i loved da vinci code recently......,1
4385,Leonardo DiCaprio has done so much good for other ppl communities animals THE EARTH my pussy etc that any bad he does can be forgiven,0
4386,the people who are worth it know how much i love the da vinci code.,1
4387,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
4388,I love Harry Potter..,1
4389,What I would do to be the wife of either Patrick Dempsey Ryan Reynolds Leonardo DiCaprio or Ian Somerhalder,0
4390,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
4391,"I enjoy discussing Harry Potter, and I know there is still a lot for me to learn about it.",1
4392,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,-1
4393,""" Brokeback Mountain "" was also very excellent.",1
4394,the people who are worth it know how much i love the da vinci code.,1
4395,My dad's being stupid about brokeback mountain...,-1
4396,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
4397,we watched horrible movies such as brokeback mountain and just my luck.,-1
4398,I think I hate Harry Potter..,-1
4399,"Is it just me, or does Harry Potter suck?...",-1
4400,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
4401,OMG I loved Brokeback Mountain!,1
4402,man i loved brokeback mountain!,1
4403,elonmusk Make a seat convertible and then you can really drop the world that would be a great present to,0
4404,MKBHD what are your views on BlackMagic cameras Would you ever buy one,0
4405,The Many Loves Of Leonardo DiCaprio,0
4406,mission impossible 2 rocks!!....,1
4407,"Is it just me, or does Harry Potter suck?...",-1
4408,"Oh, and Brokeback Mountain was a terrible movie.",-1
4409,Schmood,0
4410,"by the way, the Da Vinci Code sucked, just letting you know...",-1
4411,the people who are worth it know how much i love the da vinci code.,1
4412,Ok brokeback mountain is such a horrible movie.,-1
4413,So Brokeback Mountain was really depressing.,-1
4414,I wanted desperately to love'The Da Vinci Code as a film.,1
4415,Da Vinci Code sucks.,-1
4416,i heard da vinci code sucked soo much only 2.5 stars:,-1
4417,I love Harry Potter!,1
4418,"by the way, the Da Vinci Code sucked, just letting you know...",-1
4419,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
4420,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
4421,This quiz sucks and Harry Potter sucks ok bye..,-1
4422,I hate Harry Potter..,-1
4423,CillizzaCNN Yeah put out an APB on ARNOLD SCHWARZENEGGER,0
4424,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
4425,I like Mission Impossible movies because you never know who's on the right side.,1
4426,the people who are worth it know how much i love the da vinci code.,1
4427,"I liked the first "" Mission Impossible.",1
4428,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
4429,esta x Schwarzeneggers a fan I hear,0
4430,"Oh, and Brokeback Mountain was a terrible movie.",-1
4431,MKBHD That blue dock looks great,0
4432,Brokeback Mountain was boring.,-1
4433,Brokeback Mountain was boring.,-1
4434,The Da Vinci Code is awesome..,1
4435,Da Vinci Code sucks.,-1
4436,Brokeback mountain was beautiful...,1
4437,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
4438,"We were at Dick's and yes, Daniel's hat actually says "" I love Brokeback Mountain ""!!!",1
4439,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
4440,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
4441,dudeee i LOVED brokeback mountain!!!!,1
4442,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
4443,"i loved the da Vinci code, even though it was the second book in the series.",1
4444,"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",-1
4445,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
4446,Brokeback Mountain was boring.,-1
4447,Da Vinci Code sucked..,-1
4448,I loved The Da Vinci Code!,1
4449,I hate Harry Potter.,-1
4450,Mission Impossible 3 was excellent.,1
4451,dudeee i LOVED brokeback mountain!!!!,1
4452,My dad's being stupid about brokeback mountain...,-1
4453,Brokeback Mountain was so awesome.,1
4454,Brokeback Mountain sucked Ass..,-1
4455,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
4456,Brokeback Mountain is fucking horrible..,-1
4457,I wanted desperately to love'The Da Vinci Code as a film.,1
4458,Harry Potter is AWESOME I don't care if anyone says differently!..,1
4459,Kate Winslet Leonardo DiCaprio Help Save Life of Mom With Cancer KateAndLeoCharity,0
4460,CaseyNeistat MKBHD God your an old fucking FAGGOT,-1
4461,elonmusk Reading Kanyes tweets,0
4462,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
4463,I love Harry Potter.,1
4464,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
4465,"didn't catch the france and portugal match in the end, watched the stupid brokeback mountain dvds instead..",-1
4466,I LOVE Harry Potter!!!,1
4467,The Da Vinci Code sucked big time.,-1
4468,i love kirsten / leah / kate escapades and mission impossible tom as well...,1
4469,I love Brokeback Mountain.,1
4470,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
4471,Da Vinci Code sucked..,-1
4472,Brokeback mountain was beautiful...,1
4473,I love Harry Potter.,1
4474,Brokeback Mountain was boring.,-1
4475,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
4476,mission impossible 2 rocks!!....,1
4477,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
4478,da vinci code was an awesome movie...,1
4479,DA VINCI CODE IS AWESOME!!,1
4480,"The Da Vinci Code sucked, so you didn't miss anything special.",-1
4481,I love Brokeback Mountain.,1
4482,"My dad, bless his heart, knows how much I hate the Da Vinci Code and linked me to this article, thinking I might enjoy it since its author also hates the Da Vinci Code.",-1
4483,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
4484,da vinci code was an awesome movie...,1
4485,"The Da Vinci Code was awesome, I can't wait to read it...",1
4486,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
4487,the last stand and Mission Impossible 3 both were awesome movies.,1
4488,Ok brokeback mountain is such a horrible movie.,-1
4489,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
4490,This quiz sucks and Harry Potter sucks ok bye..,-1
4491,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
4492,I love Harry Potter and Lord of the Rings.,1
4493,I am going to start reading the Harry Potter series again because that is one awesome story.,1
4494,i just love Da Vinci Code so much!,1
4495,elonmusk Collab with Eminem,0
4496,i heard da vinci code sucked soo much only 2.5 stars:,-1
4497,Brokeback Mountain was so awesome.,1
4498,Da Vinci Code sucked..,-1
4499,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
4500,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
4501,omg i love the da vinci code that is such an awesome book!,1
4502,I hate Harry Potter.,-1
4503,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
4504,da vinci code sucks...,-1
4505,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
4506,"hating the da vinci code, saying its sucky.",-1
4507,My dad's being stupid about brokeback mountain...,-1
4508,dudeee i LOVED brokeback mountain!!!!,1
4509,I love The Da Vinci Code...,1
4510,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
4511,I love Harry Potter..,1
4512,"Anyway, thats why I love "" Brokeback Mountain.",1
4513,"Mission Impossible 3 is awesome, definately worth seeing.....",1
4514,Da Vinci Code sucked but the story and ideas were very interesting...,-1
4515,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
4516,"If theres one thing I love as much as Harry Potter, its Avatar!!!..",1
4517,The Da Vinci Code is an awesome book...,1
4518,i love being a sentry for mission impossible and a station for bonkers.,1
4519,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
4520,little anal women freeporn skinny but naked porn having sex with my friend leonardo dicaprio naked pics,0
4521,"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
4522,Brokeback Mountain was boring.,-1
4523,I LOVE THE DA VINCI CODE!!..,1
4524,"Mission Impossible kicked ass, Mission Impossible 2 did not.",1
4525,man i loved brokeback mountain!,1
4526,Brokeback Mountain is fucking horrible..,-1
4527,RED Cinema MKBHD shortyawards Creator of the decade with the camera of the decade,0
4528,Ok brokeback mountain is such a horrible movie.,-1
4529,da vinci code was an awesome movie...,1
4530,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
4531,BROKEBACK MOUNTAIN SUCKED BIG JUICY DONKEY BALLS...,-1
4532,I wanted desperately to love'The Da Vinci Code as a film.,1
4533,Drop the Falcon boosters haha,0
4534,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
4535,Da Vinci Code sucks.,-1
4536,Da Vinci Code sucks.,-1
4537,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
4538,The Da Vinci Code is awesome..,1
4539,Da Vinci Code sucked..,-1
4540,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
4541,man i loved brokeback mountain!,1
4542,"I liked the first "" Mission Impossible.",1
4543,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,-1
4544,"I have to say, I hated Brokeback Mountain, though.",-1
4545,MKBHD Which rode mic is that Is it good,0
4546,I love The Da Vinci Code...,1
4547,"Oh, and Brokeback Mountain is a TERRIBLE movie...",-1
4548,"Is it just me, or does Harry Potter suck?...",-1
4549,Mission Impossible 3 was excellent.,1
4550,I hate Harry Potter..,-1
4551,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
4552,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
4553,I LOVE THE DA VINCI CODE...,1
4554,I love Harry Potter..,1
4555,"As for movies, The Da Vinci Code was awesome and all of the protests against it make me sad to know that so many people who share my religion are idiots...",1
4556,And brokeback mountain can suck my dick...,-1
4557,I love Harry Potter.,1
4558,"by the way, the Da Vinci Code sucked, just letting you know...",-1
4559,Just when you thought this couldnt get weirder The lovechild of Arnold Schwarzenegger and Lenny Kravitz attacked,0
4560,Leonardo DiCaprio se montre tr s tendre avec un mannequin de ans Camila Morrone Coachella,0
4561,The Da Vinci Code was absolutely AWESOME!,1
4562,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
4563,i love being a sentry for mission impossible and a station for bonkers.,1
4564,to their right ALSO read and LOVED the Da Vinci code.,1
4565,Harry Potter Sucks.,-1
4566,com tudo o que vimos durante esses anos logan paul felipe neto e afins ainda bem q eu desisti da carreira,0
4567,mission impossible 2 rocks!!....,1
4568,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",-1
4569,so we ran off because we HATED Top Gun / Mission Impossible 2 / Cocktail.,-1
4570,. Brokeback Mountain sucks.,-1
4571,46 Leonardo DiCaprio,0
4572,I love Harry Potter..,1
4573,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
4574,", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",-1
4575,I like Mission Impossible movies because you never know who's on the right side.,1
4576,"Anyway, thats why I love "" Brokeback Mountain.",1
4577,I like Mission Impossible movies because you never know who's on the right side.,1
4578,man i loved brokeback mountain!,1
4579,Watch out IamAustinHealey willcarling has got Schwarzenegger on his side Nigelrefowens,0
4580,"in any case, i LOVED brokeback mountain.",1
4581,da vinci code sucks...,-1
4582,i love being a sentry for mission impossible and a station for bonkers.,1
4583,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
4584,Harry Potter is AWESOME I don't care if anyone says differently!..,1
4585,holy crap i loved mission impossible 3..,1
4586,I love Harry Potter..,1
4587,Brokeback Mountain is fucking horrible..,-1
4588,I hate Harry Potter.,-1
4589,Love luv lubb the Da Vinci Code!,1
4590,This quiz sucks and Harry Potter sucks ok bye..,-1
4591,I love Harry Potter.,1
4592,elonmusk Play this instead,0
4593,Brokeback Mountain was an AWESOME movie.,1
4594,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
4595,I freagin'love Harry Potter and all of it's magical lore...,1
4596,I like Mission Impossible movies because you never know who's on the right side.,1
4597,"by the way, the Da Vinci Code sucked, just letting you know...",-1
4598,Brokeback Mountain was boring.,-1
4599,"Always knows what I want, not guy crazy, hates Harry Potter..",-1
4600,"Its weird, I like Tom Cruise movies, but I hate the Mission impossible films....",-1
4601,I love Harry Potter..,1
4602,TheNotoriousMMA has to fight TeamKhabib now words from the legendary btbshowtime BrendanSchaub,0
4603,"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",-1
4604,I hate Harry Potter.,-1
4605,So Brokeback Mountain was really depressing.,-1
4606,Da Vinci Code sucks be...,-1
4607,Ok brokeback mountain is such a horrible movie.,-1
4608,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
4609,Leonardo DiCaprio gets cosy with new girlfriend Camila Morrone as they heat up Coachella,0
4610,This quiz sucks and Harry Potter sucks ok bye..,-1
4611,I hate Harry Potter..,-1
4612,"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",-1
4613,I hate Harry Potter.,-1
4614,stupid brokeback mountain YOU RUINED IT FOR ME!,-1
4615,the last stand and Mission Impossible 3 both were awesome movies.,1
4616,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
4617,I wanted desperately to love'The Da Vinci Code as a film.,1
4618,This quiz sucks and Harry Potter sucks ok bye..,-1
4619,Da Vinci Code sucks be...,-1
4620,Love luv lubb the Da Vinci Code!,1
4621,"She's my student last year who I read Harry Potter with, and she kept saying "" Harry Potter is beautiful!",1
4622,"I hate it though, because I really like his Mission Impossible films, so I feel bad when I go see them in theater, since I'm putting money in his pocket doing that.",1
4623,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
4624,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
4625,"Is it just me, or does Harry Potter suck?...",-1
4626,I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
4627,I love Harry Potter..,1
4628,"Mission Impossible 3, tom cruise, it sucks, I hate action movie, eat Chinese food at night, dim sum, very funny....",-1
4629,Climate change campaigner Leonardo DiCaprio takes private jet to Coachella via american mirror,0
4630,Ill go ya one more and say a few more pounds and hed look like his dad Had Linda not broke up with him and did t,0
4631,Brokeback Mountain was so awesome.,1
4632,YASSSS,0
4633,These Harry Potter movies really suck.,-1
4634,"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
4635,Harry Potter sucks.,-1
4636,JonahSachs13 MKBHD not in the united states,0
4637,So Brokeback Mountain was really depressing.,-1
4638,and i thought mission impossible III was quite awesome..,1
4639,Da Vinci Code sucks be...,-1
4640,Yes excessive automation at Tesla was a mistake To be precise my mistake Humans are underrated elonmusk,-1
4641,elonmusk What about sending Model to Mars soon,0
4642,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
4643,"Oh, and Brokeback Mountain was a terrible movie.",-1
4644,I love Harry Potter.,1
4645,My dad's being stupid about brokeback mountain...,-1
4646,SollenbergerRC Closer to a young Schwarzenegger I think,0
4647,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
4648,Mission Impossible 3 was excellent.,1
4649,besides that stupid Brokeback Mountain crap)..,-1
4650,i love being a sentry for mission impossible and a station for bonkers.,1
4651,The Da Vinci Code was absolutely AWESOME!,1
4652,"I liked the first "" Mission Impossible.",1
4653,Goals,0
4654,"by the way, the Da Vinci Code sucked, just letting you know...",-1
4655,Leonardo DiCaprio to present Martin Scorsese with Robert Osborne Award at TCM Film Festival,0
4656,"There will be a lot of fun songs, one will be a sing along about how much the Da Vinci Code SUCKS(",-1
4657,CNN jaketapper FakeNewsCNN FakeTapper should check around with their Russian contacts for an enemy agent that l,0
4658,I hate Harry Potter.,-1
4659,"Oh, and Brokeback Mountain was a terrible movie.",-1
4660,i liked the Da Vinci Code a lot.,1
4661,I like Mission Impossible movies because you never know who's on the right side.,1
4662,AlissaNutting I respect women the same way logan paul respected japan,1
4663,Da Vinci Code sucks.,-1
4664,"Oh, and Brokeback Mountain was a terrible movie.",-1
4665,i love being a sentry for mission impossible and a station for bonkers.,1
4666,i heard da vinci code sucked soo much only 2.5 stars:,-1
4667,So Brokeback Mountain was really depressing.,-1
4668,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
4669,"Again, I hate those homophobic critics who dislike Brokeback Mountain.",-1
4670,I really like The Da Vinci Code.,1
4671,I love Harry Potter.,1
4672,and i love Da Vinci Code too..,1
4673,Brokeback mountain was beautiful...,1
4674,Love luv lubb the Da Vinci Code!,1
4675,The Da Vinci Code is awesome..,1
4676,"However, I love Top Gun and Mission Impossible...",1
4677,Renos yt MKBHD no shorten of HD videos,0
4678,I love Harry Potter.,1
4679,JosephBullivant HeyMarkL CaseyNeistat MKBHD We rode it in pretty ideal conditions so its a bit hard to say I,0
4680,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
4681,Brokeback Mountain was boring.,-1
4682,"Oh, and Brokeback Mountain was a terrible movie.",-1
4683,"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
4684,I love The Da Vinci Code...,1
4685,"Also, Da Vinci Code is SUCK!!!!!!!!",-1
4686,The Da Vinci Code sucked big time.,-1
4687,I hated Brokeback Mountain.,-1
4688,TobiasDahlberg MKBHD Default skin,0
4689,I hate Harry Potter.,-1
4690,I hate Harry Potter..,-1
4691,we're gonna like watch Mission Impossible or Hoot.(,1
4692,"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
4693,"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
4694,mission impossible 2 rocks!!....,1
4695,I love Harry Potter..,1
4696,Brokeback Mountain was so awesome.,1
4697,The Da Vinci Code is awesome..,1
4698,"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
4699,the people who are worth it know how much i love the da vinci code.,1
4700,mission impossible 2 rocks!!....,1
4701,Brokeback mountain was beautiful...,1
4702,da vinci code sucks...,-1
4703,trying to decide what Leonardo Dicaprio and decided to go w the Revenant bc it reminded me of world of warcraft an,0
4704,These Harry Potter movies really suck.,-1
4705,These Harry Potter movies really suck.,-1
4706,"* He deemed me cool because I like Gavin DeGraw, Harry Potter, The Beatles, and drawing..",1
4707,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
4708,Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
4709,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",-1
4710,foxtves chrisodonnell NCISLA Schwarzenegger TheLucasBlack NCISNewOrleans Me quedo con los dos,0
4711,Da Vinci Code sucks be...,-1
4712,You might have seen CaseyNeistat video w the help of MKBHD on the newest BoostedBoards shortboard the Mini S,0
4713,I love Harry Potter.,1
4714,So Brokeback Mountain was really depressing.,-1
4715,Brokeback Mountain-hard to ignore beautiful photography.,1
4716,Brokeback Mountain is fucking horrible..,-1
4717,tacodust thats uh leonardo dicaprio but yeah,0
4718,I do like Angels and Demons more then The Da Vinci Code.,1
4719,SesoHQ MKBHD Im the first one,0
4720,Brokeback Mountain is fucking horrible..,-1
4721,"by the way, the Da Vinci Code sucked, just letting you know...",-1
4722,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",-1
4723,Ok brokeback mountain is such a horrible movie.,-1
4724,I love the Mission Impossible movies!!,1
4725,Love luv lubb the Da Vinci Code!,1
